2025-02-10 17:09:47,373 - INFO - Logging to another terminal in Windows!
2025-02-10 17:09:49,685 - INFO - Current min lip height: 31.301455334323048, max lip height: 31.301455334323048
2025-02-10 17:09:49,736 - INFO - Current min lip height: 30.517761717065618, max lip height: 31.301455334323048
2025-02-10 17:09:49,757 - INFO - Current min lip height: 28.127841626594623, max lip height: 31.301455334323048
2025-02-10 17:09:49,818 - INFO - Current min lip height: 20.18544474061762, max lip height: 31.301455334323048
2025-02-10 17:09:49,858 - INFO - Current min lip height: 0.0, max lip height: 31.301455334323048
2025-02-10 17:09:49,908 - INFO - Current min lip height: 0.0, max lip height: 31.468029939381566
2025-02-10 17:09:49,957 - INFO - Current min lip height: 0.0, max lip height: 31.468029939381566
2025-02-10 17:09:50,007 - INFO - Current min lip height: 0.0, max lip height: 31.468029939381566
2025-02-10 17:09:50,057 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,108 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,158 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,207 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,257 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,308 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,358 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,408 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,468 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,517 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,558 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,607 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,657 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,707 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,767 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,817 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,856 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,907 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:50,957 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,007 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,057 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,107 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,157 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,208 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,258 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,317 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,367 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,408 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,457 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,507 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,557 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,607 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,658 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,718 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,768 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,818 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,858 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,906 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:51,956 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:52,006 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:52,056 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:52,106 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:52,156 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:52,206 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:52,256 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:52,307 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:52,367 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:52,418 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:52,457 - INFO - Current min lip height: 0.0, max lip height: 34.21055640561462
2025-02-10 17:09:52,508 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:52,558 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:52,607 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:52,658 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:52,707 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:52,757 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:52,808 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:52,858 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:52,918 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:52,960 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:53,009 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:53,060 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:53,108 - INFO - Current min lip height: 0.0, max lip height: 35.50771289426344
2025-02-10 17:09:53,158 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,209 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,260 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,309 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,360 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,409 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,458 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,508 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,568 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,610 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,658 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,709 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,758 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,808 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,858 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,908 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:53,968 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:54,008 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:54,058 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:54,108 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
